Jurisdiccion ;Municipio ;
 Tula;Ajacuba;
 Tula;Atitalaquia;
 Tula; Atotonilco De Tula;
 Tula; Tepeji Del Río De Ocampo;
 Tula; Tepetitlán;
 Tula; Tetepango;
 Tula; Tezontepec De Aldama;
 Tula; Tlahuielilpan;
 Tula; Tlaxcoapan;
 Tula; Tula De Allende;
Tulancingo; Acatlán;
Tulancingo; Acaxochitlán;
Tulancingo; Agua Blanca De Iturbide;
Tulancingo; Cuautepec De Hinojosa;
Tulancingo; Huehuetla;
Tulancingo; Metepec;
Tulancingo; San Bartolo Tutotepec;
Tulancingo; Santiago Tulantepec De L. G.;
Tulancingo; Singuilucan;
Tulancingo; Tenango De Doria;
Tulancingo; Tulancingo De Bravo;
Pachuca; Pachuca De Soto;
Pachuca; San Agustín Tlaxiaca;
Pachuca; Zapotlán De Juárez;
Huejutla; Atlapexco;
Huejutla; Calnali;
Huejutla; Huautla;
Huejutla; Huazalingo;
Huejutla; Huejutla De Reyes;
Huejutla; Jaltocán;
Huejutla; Lolotla;
Huejutla; San Felipe Orizatlán;
Huejutla; Tlanchinol;
Huejutla; Xochiatipan;
Huejutla; Yahualica;
Mineral de la Reforma; Epazoyucan;
Mineral de la Reforma; Huasca De Ocampo;
Mineral de la Reforma; Mineral Del Chico;
Mineral de la Reforma; Mineral Del Monte;
Mineral de la Reforma; Omitlán De Juárez;
Mineral de la Reforma; Mineral De La Reforma;
Tizayuca; Villa De Tezontepec;
Tizayuca; Tizayuca;
Tizayuca; Tolcayuca;
Tizayuca; Zempoala;
Actopan; Actopan;
Actopan; El Arenal;
Actopan; Francisco I. Madero;
Actopan; Mixquiahuala De Juárez;
Actopan; Progreso De Obregón;
Actopan; San Salvador;
Actopan; Santiago De Anaya;
Ixmiquilpan; Alfajayucan;
Ixmiquilpan; Cardonal;
Ixmiquilpan; Chilcuautla;
Ixmiquilpan; Nicolás Flores;
Ixmiquilpan; Ixmiquilpan;
Ixmiquilpan; Tasquillo;
Ixmiquilpan; Zimapán;
Zacualtipán; Atotonilco El Grande;
Zacualtipán; Eloxochitlán;
Zacualtipán; Juárez Hidalgo;
Zacualtipán; San Agustín Metzquititlán;
Zacualtipán; Metztitlán;
Zacualtipán; Molango De Escamilla;
Zacualtipán; Tepehuacán De Guerrero;
Zacualtipán; Tianguistengo;
Zacualtipán; Tlahuiltepa;
Zacualtipán; Xochicoatlán;
Zacualtipán; Zacualtipán De Ángeles;
Apan; Almoloya;
Apan; Apan;
Apan; Emiliano Zapata;
Apan; Tepeapulco;
Apan; Tlanalapa;
Huichapan; Chapantongo;
Huichapan; Huichapan;
Huichapan; Nopala De Villagrán;
Huichapan; Tecozautla;
Jacala; Chapulhuacán;
Jacala; Jacala De Ledezma;
Jacala; La Misión;
Jacala; Pacula;
Jacala; Pisaflores;
