CVE_ENT,CVE_MUN,CVEGEO,NOM_ENT,NOM_MUN
13,1,13001,Hidalgo,Acatlán
13,2,13002,Hidalgo,Acaxochitlán
13,3,13003,Hidalgo,Actopan
13,4,13004,Hidalgo,Agua Blanca de Iturbide
13,5,13005,Hidalgo,Ajacuba
13,6,13006,Hidalgo,Alfajayucan
13,7,13007,Hidalgo,Almoloya
13,8,13008,Hidalgo,Apan
13,9,13009,Hidalgo,El Arenal
13,10,13010,Hidalgo,Atitalaquia
13,11,13011,Hidalgo,Atlapexco
13,12,13012,Hidalgo,Atotonilco el Grande
13,13,13013,Hidalgo,Atotonilco de Tula
13,14,13014,Hidalgo,Calnali
13,15,13015,Hidalgo,Cardonal
13,16,13016,Hidalgo,Cuautepec de Hinojosa
13,17,13017,Hidalgo,Chapantongo
13,18,13018,Hidalgo,Chapulhuacán
13,19,13019,Hidalgo,Chilcuautla
13,20,13020,Hidalgo,Eloxochitlán
13,21,13021,Hidalgo,Emiliano Zapata
13,22,13022,Hidalgo,Epazoyucan
13,23,13023,Hidalgo,Francisco I. Madero
13,24,13024,Hidalgo,Huasca de Ocampo
13,25,13025,Hidalgo,Huautla
13,26,13026,Hidalgo,Huazalingo
13,27,13027,Hidalgo,Huehuetla
13,28,13028,Hidalgo,Huejutla de Reyes
13,29,13029,Hidalgo,Huichapan
13,30,13030,Hidalgo,Ixmiquilpan
13,31,13031,Hidalgo,Jacala de Ledezma
13,32,13032,Hidalgo,Jaltocán
13,33,13033,Hidalgo,Juárez Hidalgo
13,34,13034,Hidalgo,Lolotla
13,35,13035,Hidalgo,Metepec
13,36,13036,Hidalgo,San Agustín Metzquititlán
13,37,13037,Hidalgo,Metztitlán
13,38,13038,Hidalgo,Mineral del Chico
13,39,13039,Hidalgo,Mineral del Monte
13,40,13040,Hidalgo,La Misión
13,41,13041,Hidalgo,Mixquiahuala de Juárez
13,42,13042,Hidalgo,Molango de Escamilla
13,43,13043,Hidalgo,Nicolás Flores
13,44,13044,Hidalgo,Nopala de Villagrán
13,45,13045,Hidalgo,Omitlán de Juárez
13,46,13046,Hidalgo,San Felipe Orizatlán
13,47,13047,Hidalgo,Pacula
13,48,13048,Hidalgo,Pachuca de Soto
13,49,13049,Hidalgo,Pisaflores
13,50,13050,Hidalgo,Progreso de Obregón
13,51,13051,Hidalgo,Mineral de la Reforma
13,52,13052,Hidalgo,San Agustín Tlaxiaca
13,53,13053,Hidalgo,San Bartolo Tutotepec
13,54,13054,Hidalgo,San Salvador
13,55,13055,Hidalgo,Santiago de Anaya
13,56,13056,Hidalgo,Santiago Tulantepec de Lugo Guerrero
13,57,13057,Hidalgo,Singuilucan
13,58,13058,Hidalgo,Tasquillo
13,59,13059,Hidalgo,Tecozautla
13,60,13060,Hidalgo,Tenango de Doria
13,61,13061,Hidalgo,Tepeapulco
13,62,13062,Hidalgo,Tepehuacán de Guerrero
13,64,13064,Hidalgo,Tepetitlán
13,65,13065,Hidalgo,Tetepango
13,66,13066,Hidalgo,Villa de Tezontepec
13,67,13067,Hidalgo,Tezontepec de Aldama
13,68,13068,Hidalgo,Tianguistengo
13,69,13069,Hidalgo,Tizayuca
13,70,13070,Hidalgo,Tlahuelilpan
13,71,13071,Hidalgo,Tlahuiltepa
13,72,13072,Hidalgo,Tlanalapa
13,73,13073,Hidalgo,Tlanchinol
13,74,13074,Hidalgo,Tlaxcoapan
13,75,13075,Hidalgo,Tolcayuca
13,76,13076,Hidalgo,Tula de Allende
13,77,13077,Hidalgo,Tulancingo de Bravo
13,78,13078,Hidalgo,Xochiatipan
13,79,13079,Hidalgo,Xochicoatlán
13,80,13080,Hidalgo,Yahualica
13,81,13081,Hidalgo,Zacualtipán de Ángeles
13,82,13082,Hidalgo,Zapotlán de Juárez
13,83,13083,Hidalgo,Zempoala
13,84,13084,Hidalgo,Zimapán
13,63,13063,Hidalgo,Tepeji del Río de Ocampo
